repo_full,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,low,"{""latency_log"": 0.1}",4,observed,none,100,0.0,100,0.0,100,0.0526315789473684,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,low,"{""latency_log"": 0.1}",8,observed,none,100,0.0,100,0.0,100,0.0666666666666666,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",1,low_volume,none,100,0.0,100,0.0,100,0.04545454545454539,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",1,observed,controlled,100,0.0,100,0.0,100,0.04545454545454539,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,100,0.0,100,0.0,100,0.04545454545454539,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",2,low_volume,none,100,0.01,100,0.01,100,0.04761904761904749,100,0.02,100,0.5,2,0.006666666666666601,100,1.02,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",2,observed,controlled,100,0.0,100,0.0,100,0.04761904761904749,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",2,observed,none,100,0.0,100,0.0,100,0.04761904761904749,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",4,low_volume,none,100,0.05,100,0.025,100,0.0526315789473684,100,0.1,100,1.6,10,0.0199999999999999,100,1.1,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,medium,"{""latency_log"": 0.25}",4,observed,controlled,100,0.0,100,0.0,100,0.0526315789473684,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
