repo_full,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,merged_pr_count,pr_cycle_hours_median,qualified_review_latency_hours_median,reviewed_pr_n,churn_median,changed_files_median,commits_median,created_pr_count,workflow_count,workflow_concentration_hhi,release_count,split,external_calibration,external_evaluation_eligible,workflow_adjusted_latency_log,latency_log_raw,latency_log,low_outcome_support,low_latency_support,missing_core_metric_count
pytest-dev/pytest,2025-12-22,31,21,2,0.0952380952380952,21,14.45,33.21666666666667,0.05,14.35,31,0,0.0,0,0,,12,130.72458333333333,7.434722222222222,7,3.5,1.0,1.0,14,1.0,1.0,,external,False,True,0.0174106683058967,2.7376090033437546,0.0174106683058967,False,False,0
pytest-dev/pytest,2025-12-29,47,23,4,0.1739130434782608,23,13.483333333333333,15.476666666666668,0.1666666666666666,13.3,47,0,0.0,0,0,,2,345.38750000000005,53.39652777777778,2,16.0,4.0,1.5,10,1.0,1.0,,external,False,True,-0.0471997719945664,2.6729985630432918,-0.0471997719945664,False,False,0
pytest-dev/pytest,2026-01-05,15,14,3,0.2142857142857142,14,13.583333333333334,15.576666666666668,0.05,13.541666666666668,15,0,0.0,0,0,,4,20.64055555555556,20.63861111111111,4,91.5,2.5,1.0,8,1.0,1.0,,external,False,True,-0.0403190109023441,2.6798793241355137,-0.0403190109023441,False,False,0
pytest-dev/pytest,2026-01-12,80,56,6,0.1071428571428571,56,13.908333333333331,18.90833333333333,0.05,13.891666666666666,79,1,0.0126582278481012,1,0,0.0,14,6.371805555555556,6.025555555555556,14,11.0,2.0,1.0,21,1.0,1.0,,external,False,True,-0.0182779943111848,2.701920340726673,-0.0182779943111848,False,False,0
pytest-dev/pytest,2026-01-19,37,29,8,0.2758620689655172,29,13.75,15.756666666666664,0.05,13.716666666666669,37,0,0.0,0,0,,7,6.329166666666667,6.182222222222222,7,48.0,1.0,1.0,8,1.0,1.0,,external,False,True,-0.0289552522520288,2.691243082785829,-0.0289552522520288,False,False,0
pytest-dev/pytest,2026-01-26,24,16,3,0.1875,16,14.241666666666667,18.041666666666664,0.05,14.075,24,0,0.0,0,0,,5,157.2563888888889,6.346388888888889,5,84.0,2.0,1.0,8,1.0,1.0,,external,False,True,0.0038345705709619,2.72403290560882,0.0038345705709619,False,False,0
pytest-dev/pytest,2026-02-02,31,20,4,0.2,20,15.483333333333334,24.910000000000032,0.05,15.216666666666669,30,1,0.0333333333333333,1,1,1.0,5,3.03,2.9472222222222224,5,10.0,1.0,1.0,10,1.0,1.0,,external,False,True,0.0821514343627538,2.802349769400612,0.0821514343627538,False,False,0
pytest-dev/pytest,2026-02-09,50,38,4,0.1052631578947368,38,16.941666666666666,23.886666666666667,0.0666666666666666,16.358333333333334,48,2,0.0416666666666666,2,2,1.0,20,2.746388888888889,0.8593055555555555,20,22.0,1.0,1.0,22,1.0,1.0,,external,False,True,0.1669274195444594,2.887125754582317,0.1669274195444594,False,False,0
pytest-dev/pytest,2026-02-16,45,34,3,0.088235294117647,34,15.508333333333333,19.63,0.05,15.466666666666663,42,3,0.0714285714285714,3,0,0.0,6,4.477222222222222,4.080416666666666,6,46.0,1.5,1.0,25,1.0,1.0,,external,False,True,0.0836669688786471,2.803865303916505,0.0836669688786471,False,False,0
pytest-dev/pytest,2026-02-23,32,21,3,0.1428571428571428,21,15.35,21.48333333333333,0.05,15.75,30,2,0.0666666666666666,2,1,0.5,7,6.0675,5.052777777777778,6,4.0,1.0,1.0,14,1.0,1.0,,external,False,True,0.0740295623054048,2.7942278973432626,0.0740295623054048,False,False,0
