repo_full,detector_family,detector_variant,metric,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1}",8,observed,none,100,1.0,1,0.00125,100,0.0,100,0.01,100,2.0,1,0.00125,100,0.01,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",1,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",1,observed,controlled,100,,0,0.0,53,0.0,100,0.0,100,,0,0.0,53,0.0,100,0.4527777777777773,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",2,low_volume,none,100,1.0,10,0.05,100,0.0,100,0.1,100,1.0,10,0.05,100,0.1,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",2,observed,controlled,100,,0,0.0,82,0.0,100,0.0,100,,0,0.0,82,0.0,100,0.4586111111111108,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",2,observed,none,100,1.0,1,0.005,100,0.0,100,0.01,100,1.0,1,0.005,100,0.01,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",4,low_volume,none,100,1.0,16,0.0425,100,0.0,100,0.16,100,1.9375,16,0.0425,100,0.17,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",4,observed,controlled,100,1.0,2,0.0097402597402597,77,0.0,100,0.02,100,1.5,2,0.0097402597402597,77,0.03,100,0.510277777777778,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",4,observed,none,100,1.0,4,0.01,100,0.0,100,0.04,100,2.25,4,0.01,100,0.04,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",8,low_volume,none,100,1.0,10,0.01375,100,0.0,100,0.1,100,3.9,10,0.01375,100,0.11,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",8,observed,controlled,100,,0,0.0,71,0.0,100,0.0,100,,0,0.0,71,0.0,100,0.5663888888888888,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25}",8,observed,none,100,1.0,5,0.00625,100,0.0,100,0.05,100,3.2,5,0.00625,100,0.05,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5, ""rerun_rate"": 0.2}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5, ""rerun_rate"": 0.2}",2,observed,none,100,1.0,46,0.23,100,0.0,100,0.46,100,1.0,46,0.23,100,0.46,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5, ""rerun_rate"": 0.2}",4,observed,none,100,1.0,47,0.19,100,0.0,100,0.47,100,1.425531914893617,47,0.19,100,0.76,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5, ""rerun_rate"": 0.2}",8,observed,none,100,1.0,43,0.09,100,0.0,100,0.43,100,1.930232558139535,43,0.09,100,0.72,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1, ""rerun_rate"": 0.05}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1, ""rerun_rate"": 0.05}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1, ""rerun_rate"": 0.05}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,low,"{""failure_rate"": 0.05, ""latency_log"": 0.1, ""rerun_rate"": 0.05}",8,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",1,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",1,observed,controlled,100,,0,0.0,64,0.0,100,0.0,100,,0,0.0,64,0.0,100,0.44249999999999967,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",2,low_volume,none,100,1.0,8,0.04,100,0.0,100,0.08,100,1.0,8,0.04,100,0.08,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",2,observed,controlled,100,,0,0.0,64,0.0,100,0.0,100,,0,0.0,64,0.0,100,0.4824999999999995,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",2,observed,none,100,1.0,1,0.005,100,0.0,100,0.01,100,1.0,1,0.005,100,0.01,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",4,low_volume,none,100,1.0,12,0.0325,100,0.0,100,0.12,100,1.5833333333333333,12,0.0325,100,0.13,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",4,observed,controlled,100,1.0,1,0.0034246575342465,73,0.0,100,0.01,100,2.0,1,0.0034246575342465,73,0.01,100,0.5091666666666664,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",4,observed,none,100,1.0,1,0.0025,100,0.0,100,0.01,100,3.0,1,0.0025,100,0.01,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""latency_log"": 0.25, ""rerun_rate"": 0.1}",8,low_volume,none,100,1.0,23,0.03875,100,0.0,100,0.23,100,2.739130434782609,23,0.03875,100,0.31,100,0.3888888888888885,100
