detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,metric,repositories_observed,cross_repository_mean,cross_repository_minimum,cross_repository_maximum,cross_repository_range,cross_repository_sd,interpretation
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,controlled,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,controlled,pair_unevaluable_fraction_mean,3,0.3031884057971014,0.2993478260869565,0.3058695652173913,0.0065217391304348005,0.0034119586570995793,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,none,strict_incremental_episode_detected_proportion,3,0.023333333333333334,0.0,0.05,0.05,0.025166114784235832,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,none,strict_incremental_detection_delay_weeks_mean,2,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,none,incremental_spillover_weeks_mean,3,0.06666666666666667,0.0,0.11,0.11,0.05859465277082315,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,low_volume,none,strict_incremental_episode_detected_proportion,3,0.17,0.08,0.26,0.18,0.09,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,low_volume,none,strict_incremental_detection_delay_weeks_mean,3,0.8365384615384616,0.625,1.0,0.375,0.19206715726382864,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,low_volume,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
